"CustomerID","CustomerType","X8.9","X9.10","X10.11","X11.12","X12.1","X1.2","X2.3","X3.4","X4.5","X5.6"
501,"Group",25.5,29,16,22,15,17.5,25,19.5,20.5,21
502,"Group",19,25,23,15,22,16.5,25,20,25,28
503,"Group",31.5,24,17,15,25,15,21.5,17.5,33.5,25
504,"Group",34.5,17,20,24,22,21.5,19.5,18,31.5,29.5
505,"Group",26,26,20,19.5,20,15.5,29,22,19,12
506,"Group",33,27.5,27,11.5,14.5,20.5,17,19.5,32.5,21.5
507,"Group",22.5,29,18.5,14.5,19.5,11,28.5,20.5,31,26
508,"Group",29.5,30.5,21,18,19.5,20,16.5,17,33,34
509,"Group",28,25,16.5,19.5,26,16.5,21.5,15,29.5,32.5
510,"Group",31.5,26.5,26,20.5,21,22.5,18,20.5,26,27
511,"Group",28.5,29,17.5,23,20,23.5,21.5,23.5,24,30
512,"Group",26.5,26,14,10.5,22,18,22,22,35,20.5
513,"Group",26.5,25.5,18.5,18,17.5,14.5,21,24,25,34.5
514,"Group",31,25.5,15.5,18,20,22,17,21,34.5,25
515,"Group",28.5,22,14,18,24,17.5,18,17.5,21,26
516,"Group",24,25.5,11.5,18.5,19,17,18.5,17.5,34.5,27.5
517,"Group",28.5,26.5,23,18,22,15,18.5,27,31,29
518,"Group",27,27.5,14.5,17,20.5,21,26,17.5,31.5,26.5
519,"Group",28.5,26.5,9.5,20,18.5,11,21.5,21,33.5,23.5
520,"Group",18.5,33.5,18.5,18.5,28.5,20.5,17.5,12,27.5,24
521,"Group",25,25.5,17,26.5,21.5,14.5,22,15,19,32.5
522,"Group",35.5,28.5,28,19,33.5,29.5,27.5,20.5,33.5,21
523,"Group",35.5,34,16,15.5,17.5,18.5,14.5,12.5,25,35
524,"Group",17,43,21.5,18,21,22.5,28.5,25.5,24,26.5
525,"Group",30,25,22,11.5,17.5,12.5,20.5,24,23,25.5
526,"Group",22,26,17.5,22,16.5,21.5,15.5,18.5,27.5,28
527,"Group",26,19,17.5,19.5,27,21.5,15,17,24.5,19.5
528,"Group",25,25.5,14,11.5,16,24.5,17,12.5,28.5,24
529,"Group",20,38,15.5,18,16,24,30,19,28.5,36.5
530,"Group",31,25,31.5,20.5,17.5,23.5,16,25.5,29,31.5
531,"Group",20.5,33.5,13.5,19.5,20.5,14,17.5,26,31.5,26
532,"Group",25.5,26.5,18.5,14,26,24.5,14.5,18,20.5,22
533,"Group",32,29,19,16.5,16.5,19,19,15.5,23,22.5
534,"Group",28.5,20,14,13.5,25,19,27.5,21,21.5,31
535,"Group",27.5,34,21,17,17.5,17,14,20,28,28.5
536,"Group",26,36.5,19.5,17.5,20.5,29,23,19.5,33,26
537,"Group",25,29,18.5,19,20.5,22,14.5,23,22.5,22
538,"Group",29,22.5,23.5,23.5,26.5,16.5,15.5,13.5,26,27.5
539,"Group",24,31,17.5,23,27,17.5,22,24.5,34,24.5
540,"Group",30,25,18.5,16.5,17,19,20.5,19.5,25,31
541,"Group",26.5,25,22.5,17.5,22.5,22,15.5,20,18,24.5
542,"Group",26.5,32,24.5,18.5,18.5,20,19.5,14.5,23,21
543,"Group",24,18,23.5,13,15.5,24.5,14,24,31,27.5
544,"Group",23,30,22,23,18,11.5,23,25.5,30.5,38.5
545,"Group",24.5,26,14.5,24.5,26,19,16.5,19.5,24.5,24.5
546,"Group",40.5,33.5,20,30.5,19.5,20,23,12,25.5,24.5
547,"Group",27,35.5,21,22.5,20,19,25.5,20.5,19.5,17
548,"Group",27,25.5,18,21,16.5,18,13.5,11,35,21
549,"Group",24.5,25,13.5,17.5,29.5,23.5,21,10.5,19,33
550,"Group",36.5,30,20,24,20.5,25,19.5,23,23,27.5
551,"Group",24.5,25,13.5,14,14,18,13,16.5,24.5,27
552,"Group",26,28,23,18,24.5,18.5,19.5,24,33,24.5
553,"Group",30.5,27,20.5,22,20,17,16.5,26,32,32
554,"Group",30,31,18,22.5,25,22,18,24,36,19
555,"Group",27.5,26,21,16,19,21,15,19.5,28,27
556,"Group",26,20,18,17.5,20,22,20.5,18.5,34.5,18.5
557,"Group",32,22,14.5,21.5,19.5,21,11.5,25.5,24,32.5
558,"Group",28,25.5,17,15.5,17,15,16.5,21,25,28.5
559,"Group",32,22.5,20.5,20,22.5,16.5,19.5,19,24,21.5
